Disease,Description
Fungal infection,A fungal infection is an invasion of the skin or nails by a fungus. It can cause skin rashes and itching.
Allergy,An allergic reaction occurs when your immune system reacts to a foreign substance. Common symptoms include sneezing and watery eyes.
GERD,Gastroesophageal reflux disease (GERD) is a chronic digestive disorder where stomach acid flows back into the esophagus.
Chronic cholestasis,A condition where bile flow from the liver is reduced or stopped causing yellowing of skin and eyes.
Drug Reaction,An adverse drug reaction is an unwanted response to a medication when taken in normal doses.
Peptic ulcer diseae,Peptic ulcers are open sores that develop on the inside lining of your stomach and the upper portion of your small intestine.
AIDS,Acquired immunodeficiency syndrome (AIDS) is a chronic immune system condition caused by HIV.
Diabetes,Diabetes is a group of metabolic disorders characterized by high blood sugar levels over a prolonged period.
Gastroenteritis,Gastroenteritis is inflammation of the lining of the intestines caused by a virus bacteria or parasites.
Bronchial Asthma,Asthma is a respiratory condition in which your airways narrow and swell and may produce extra mucus.
Hypertension,High blood pressure is a common condition in which the long-term force of blood against artery walls is high enough to cause health problems.
Migraine,A migraine is a headache that can cause severe throbbing pain or a pulsing sensation usually on one side of the head.
Cervical spondylosis,Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck.
Paralysis (brain hemorrhage),Paralysis is the loss of muscle function in part of your body often caused by brain hemorrhage.
Jaundice,Jaundice is a yellowing of the skin and eyes caused by too much bilirubin in the blood.
Malaria,Malaria is a disease caused by a parasite transmitted by infected mosquitoes.
Chicken pox,Chickenpox is a highly contagious infection caused by the varicella-zoster virus.
Dengue,Dengue is a mosquito-borne viral infection causing severe flu-like illness.
Typhoid,Typhoid fever is a bacterial infection that can spread throughout the body affecting many organs.
hepatitis A,Hepatitis A is a viral infection that causes liver inflammation and damage.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic disease.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation sometimes leading to serious liver damage.
Hepatitis D,Hepatitis D is a viral infection that causes liver inflammation and damage.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation and damage.
Alcoholic hepatitis,Alcoholic hepatitis is liver inflammation caused by drinking alcohol.
Tuberculosis,Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria.
Common Cold,The common cold is a viral infection of your nose and throat.
Pneumonia,Pneumonia is an infection that inflames air sacs in one or both lungs.
Dimorphic hemmorhoids(piles),Hemorrhoids are swollen veins in your anus and lower rectum similar to varicose veins.
Heart attack,A heart attack occurs when blood flow to a part of the heart is blocked for a long enough time that part of the heart muscle is damaged.
Varicose veins,Varicose veins are twisted enlarged veins most commonly appearing in the legs and feet.
Hypothyroidism,Hypothyroidism is a condition in which your thyroid gland doesnt produce enough thyroid hormones.
Hyperthyroidism,Hyperthyroidism is a condition in which your thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthritis is the most common form of arthritis affecting millions of people worldwide.
Arthritis,Arthritis refers to inflammation of one or more joints causing pain and stiffness.
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) causes brief episodes of mild to intense dizziness.
Acne,Acne is a skin condition that occurs when hair follicles plug with oil and dead skin cells.
Urinary tract infection,A urinary tract infection (UTI) is an infection in any part of your urinary system.
Psoriasis,Psoriasis is a skin disease that causes red itchy scaly patches.
Impetigo,Impetigo is a common and highly contagious skin infection that mainly affects infants and children.
